TRACKINGNUMBER,INSPECTIONDATE,INSPTYPE,NUMCRITICAL,NUMNONCRITICAL,HAZARDRATING,VIOLLUMP
SWOD-APSP3X,20200324,Routine,1,1,Low,"205,Critical,Cold potentially hazardous food stored/displayed above 4 ???C. [s. 14(2)],Not Repeat|310,Not Critical,Single use containers & utensils are used more than once [s. 20],Not Repeat"
SWOD-APSP3X,20190830,Routine,1,0,Low,"205,Critical,Cold potentially hazardous food stored/displayed above 4 ???C. [s. 14(2)],Not Repeat"
SWOD-APSP3X,20190305,Routine,0,2,Low,"306,Not Critical,Food premises not maintained in a sanitary condition [s. 17(1)],Not Repeat|403,Not Critical,Employee lacks good personal hygiene, clean clothing and hair control [s. 21(1)],Not Repeat"
SWOD-APSP3X,20180625,Routine,2,3,Moderate,"209,Not Critical,Food not protected from contamination [s. 12(a)],Not Repeat|303,Critical,Equipment/facilities/hot & cold water for sanitary maintenance not adequate [s. 17(3); s. 4(1)(f)],Not Repeat|308,Not Critical,Equipment/utensils/food contact surfaces are not in good working order [s. 16(b)],Not Repeat|311,Not Critical,Premises not maintained as per approved plans [s. 6(1)(b)],Not Repeat|402,Critical,Employee does not wash hands properly or at adequate frequency [s. 21(3)],Not Repeat"
SWOD-APSP3X,20180103,Routine,0,2,Low,"209,Not Critical,Food not protected from contamination [s. 12(a)],Not Repeat|307,Not Critical,Equipment/utensils/food contact surfaces are not of suitable design/material [s. 16; s. 19],Not Repeat"
SWOD-APSP3X,20171011,Follow-Up,0,0,Low,
SWOD-APSP3X,20171004,Routine,1,3,Low,"205,Critical,Cold potentially hazardous food stored/displayed above 4 ???C. [s. 14(2)],Not Repeat|209,Not Critical,Food not protected from contamination [s. 12(a)],Not Repeat|210,Not Critical,Food not thawed in an acceptable manner [s. 14(2)],Not Repeat|308,Not Critical,Equipment/utensils/food contact surfaces are not in good working order [s. 16(b)],Not Repeat"
SDFO-88ESVK,20191217,Follow-Up,0,1,Low,"209,Not Critical,Food not protected from contamination [s. 12(a)],Not Repeat"
SDFO-88ESVK,20191205,Routine,2,4,Moderate,"203,Critical,Food not cooled in an acceptable manner [s. 12(a)],Not Repeat|209,Not Critical,Food not protected from contamination [s. 12(a)],Not Repeat|210,Not Critical,Food not thawed in an acceptable manner [s. 14(2)],Not Repeat|302,Critical,Equipment/utensils/food contact surfaces not properly washed and sanitized [s. 17(2)],Not Repeat|311,Not Critical,Premises not maintained as per approved plans [s. 6(1)(b)],Not Repeat|502,Not Critical,In operator???s absence, no staff on duty has FOODSAFE Level 1 or equivalent [s. 10(2)],Not Repeat"
SDFO-88ESVK,20190606,Routine,1,4,Low,"302,Critical,Equipment/utensils/food contact surfaces not properly washed and sanitized [s. 17(2)],Not Repeat|306,Not Critical,Food premises not maintained in a sanitary condition [s. 17(1)],Not Repeat|308,Not Critical,Equipment/utensils/food contact surfaces are not in good working order [s. 16(b)],Not Repeat|311,Not Critical,Premises not maintained as per approved plans [s. 6(1)(b)],Not Repeat|501,Not Critical,Operator does not have FOODSAFE Level 1 or Equivalent [s. 10(1)],Not Repeat"
